id,name,latitude,longitude,bike_slots,public_art,night_club,bicycle_store,coffee_shop,fast_food,museum,grocery_store
00fa94ad698dc4a9e4d708d6fd32f294,Chilco & Barclay,49.291909,-123.140713,18,0,1,5,16,14,1,11
012d3e06901cc222b1c2cf0a2ace3a29,St George & Broadway,49.262321,-123.09306,14,1,2,1,10,3,0,8
029a505bd4422a1afd127987757f71a6,Britannia Parking Lot,49.275882,-123.071865,14,0,1,4,21,1,0,12
0438114d2e6b96118de69bc9775bb21e,Morton & Denman,49.28803,-123.142135,26,1,1,1,16,11,0,8
0459b7e93703980b853cd65a9dc60596,Thornton & National,49.273777,-123.092723,14,0,0,0,7,4,0,11
04f64fde5ba1ebde8ad78c74914adb34,Burrard & 14th,49.259469,-123.145718,18,1,0,0,5,2,0,2
06487275cd19694152824c7c3088e8ff,Olympic Village Station,49.266314,-123.116011,20,1,1,7,25,8,1,5
064a7b39b1dbc4bfc4cf8f454e360c57,8th & Macdonald,49.264928,-123.168068,20,0,0,3,21,9,0,13
066ecc3584913fa035ec1417323beb80,30th & Ontario,49.243375,-123.104978,22,0,1,1,7,1,0,7
06bdc4d55f34b2a491305534fd5defda,Lakewood & Triumph,49.283968,-123.061615,16,0,2,0,15,6,0,9
07b13214cb69f2ec007d888450f3d6bc,13th & Cambie,49.259579,-123.114769,14,1,0,5,20,11,0,3
085a0e120a08a80a58c0ae0ff9da565a,Arbutus & Nanton,49.247854,-123.153422,18,0,0,0,1,2,0,1
08c7a90bf297fde8c1f1156db13987d4,14th & Fraser,49.257939,-123.089531,16,0,0,0,14,0,0,7
0a43242bee10cd33f539af2c1bf5ecbf,15th & Victoria (Trout Lake),49.256857,-123.065646,18,0,0,0,6,1,0,4
0b543fc4e694fe07a54dac48bb1b3390,Robson & Hornby,49.282758,-123.122092,20,2,15,9,50,50,1,22
0c42f45e4a14957ad4a6d521d0ba8bc3,Cardero & Robson,49.289255,-123.132677,26,1,3,8,40,17,2,21
0c9ad3e3703e5869b82619ecdf54f43e,1st & Scotia,49.2685027,-123.0975014,20,0,2,4,17,5,0,4
0cee06d7d10f7d3162cea03d22b7beed,10th & Fraser,49.26151,-123.089413,14,0,0,2,8,2,0,6
0cf6cd1809fa7f510812f5b052f578c4,Ontario & 5th,49.266724,-123.104824,20,1,5,24,22,5,1,7
0d1b5c62f8d22e3650811df55596e25b,Heather & 16th,49.256845,-123.120071,12,0,0,2,15,2,0,3
0e0aef6fabaa808b3a3cef24657257a4,Richards & Smithe,49.279259,-123.119145,18,3,16,7,50,49,0,21
10acadd77bc21f26a7f09d8c74d4af2d,Robson & Beatty,49.277773,-123.114237,20,0,7,2,50,15,2,7
12dd264419c06f596d1a883ed36efd9c,Maple Tree Square,49.283482,-123.103738,25,4,15,4,50,11,12,22
13021bba7bbeca1ccd8726ca17da59e6,22nd & Main,49.25094,-123.101306,14,1,1,2,11,5,0,7
1648ead5ea617d2cea115869d9516f5e,Carrall & Seawall,49.276294,-123.106534,18,1,4,0,19,12,10,3
1675a77b9af656faf527b4e6de53e63b,Charles & Woodland,49.2731,-123.0732,14,0,1,3,22,4,0,17
175a074bf65455d1633639511dc129c8,1st & Manitoba,49.27023,-123.10651,28,0,2,8,14,5,7,5
17a3320a52bcc62161908967f8a06613,St Catherines & 7th,49.264466,-123.085183,20,0,0,2,6,1,0,5
198810b9b0af5d229d1b6fa12c620e06,Triumph & Victoria,49.283986,-123.065264,18,0,1,0,7,4,0,9
1bca0e944a4faf170db82793414b03ab,18th & Main,49.254667,-123.101389,16,1,1,3,8,8,0,5
1c8f7fd6535db12cc45cfc59aa9da058,St Catherines & 10th,49.261353,-123.085333,12,0,0,2,5,2,0,6
1d4153659a0a0a2089078c739df6737d,Nelson & Richards,49.277844,-123.120942,18,1,25,5,50,39,2,26
1d442ad1a71774c82688a45954e47bfd,Arbutus & 10th,49.262835,-123.152626,18,0,1,1,17,3,0,7
1d7e73b3321ebb6713774d376247d9f9,Comox & Denman,49.288444,-123.139203,18,0,2,4,29,19,0,19
1ef01f2f89621d51afbabaa6296e55be,Prince Edward & 14th,49.258352,-123.096337,14,0,1,1,18,7,0,7
1ef5c4ff3f0b09422bb1597fd9d7568b,Alexander & Railway,49.283992,-123.091206,20,0,1,0,7,1,0,15
25318ec3e06fae1397a3a2f645104149,Chilco & Beach,49.28972,-123.144028,14,0,1,1,13,9,0,6
257715b845828e027ff35dd0f11c971e,Richards & Cordova,49.284554,-123.111031,16,3,15,3,50,36,4,19
261efc67071963969b3f848c66454d97,Orchard Commons,49.259999,-123.250902,26,0,0,0,10,0,3,0
26555ebe3663991da07220d12b0f054a,Strangway Building,49.2661,-123.24568,24,0,0,2,20,9,1,4
2681455ba2d97283998a806b14d3e95c,Yew & Broadway,49.263523,-123.155267,18,0,1,1,13,3,0,8
277b4b4881bdb7dac73012672179def8,Woodland & 10th,49.261263,-123.073707,14,0,0,1,6,7,0,10
2781435bde344e1b64f1bebac6bc9008,Ontario & 16th,49.256825,-123.105234,14,1,0,2,8,9,0,4
2ca388bba54706770900ca2a9d7aa5be,14th & Alder,49.258819,-123.131317,14,0,0,0,3,2,0,2
2f09a64507cf6257c67ca20af27339eb,Chestnut & McNicoll,49.275938,-123.145939,16,0,0,0,4,6,3,0
2ff7eb4230654603592ab1b0780ec5e1,Dunbar & 6th,49.266636,-123.183661,16,0,1,5,13,4,1,5
30bf49544b1c864688b78172d42cca5e,Stanley Park - Vancouver Aquarium,49.299292,-123.130281,17,0,1,0,2,1,1,0
32603a87cfca71d0f7dfa3513bad69d5,Yaletown-Roundhouse Station,49.274566,-123.121817,16,1,15,2,29,12,1,16
32f70f7ae14ba87523c6286a6c4d5c37,Smithe & Burrard,49.282503,-123.124697,18,2,13,7,50,50,1,18
3367c1e1dbf73caf7c10e4c96a92f58d,Abbott & Cordova,49.282759,-123.106955,22,4,16,4,50,22,10,20
34fd37d12eb989b49518ef53941ee3ff,Sasamat & 10th,49.264019,-123.209176,22,0,0,1,4,3,1,1
3596b4831ee2ea7812de753b32306835,Vine & 4th,49.268339,-123.157443,18,0,1,1,17,4,0,14
35eb539fb9298bb7e4f6759ca0256505,10th & Ontario,49.262062,-123.104656,20,1,2,19,28,12,0,9
365da33e9ce06ea53db1173a0f8eae71,Pine & 10th,49.262822,-123.14338,20,1,0,3,22,7,1,4
38f045e3f43f86eae42ca4c60257ade0,Wallace & 4th,49.268974,-123.190701,18,0,1,2,4,2,0,2
3a4131fa94946d93d3529136efd62413,Pacific & Richards,49.273663,-123.127075,14,0,10,2,23,12,2,14
3aed670ccdcd94b966c0f505f8b028c7,7th &  Alder,49.265198,-123.131043,16,0,1,1,10,4,1,3
3e112f9fe877e0003780386359060ae6,Canada Place,49.287214,-123.11287,26,1,8,1,50,37,1,12
41a55a7e2908fbbd65175b794d26bc8d,Heather & 18th,49.255034,-123.120226,16,0,0,2,12,2,0,3
421516af381a11f54d07fc79be68d3d3,14th & Oak,49.258761,-123.127071,14,0,0,0,7,2,0,1
434b6f4e7fc30198f901b60fc905f609,Bute & Comox,49.283343,-123.131099,22,0,11,1,30,16,1,14
444991edc9550be0908f032da5e3c95f,Comox & Broughton,49.285253,-123.134356,12,0,4,1,19,12,1,14
44fc3d58831a9f2b919c7a3a1838b74a,Station & Terminal,49.272172,-123.097978,18,0,0,2,17,12,6,6
45a4c865db23e1cad0209afa5a799de0,Stanley Park - Third Beach Parking Lot,49.302577,-123.155616,38,1,0,0,0,1,0,0
475627e149c1a6ba73caac8d8d2fa617,Woodland & 4th,49.266751,-123.073501,14,0,0,1,14,7,0,13
485d4d24c803cfde829ab89699fed833,8th & Ash,49.264215,-123.117772,16,2,0,4,31,11,0,7
4990fe5772f3b73eebeec125b41e478e,Burrard & Drake,49.27808,-123.130557,24,0,19,2,38,27,1,19
4ac99b928a91d8ccb785c9d0b805adb6,10th & Kingsway,49.261973,-123.09725,20,1,3,5,25,12,0,11
4cb84c9a3743287019ae00ceef9a1cd3,10th & Oak,49.262255,-123.126217,22,0,1,0,22,6,0,1
4e8fdc99e77ba1b70d90e124a704d0c1,Hawks & Union,49.277333,-123.087359,16,0,0,0,5,1,1,12
4f6ebf2026d540ffe40e29a80138ad5e,Marinaside & Cooperage,49.273833,-123.114373,26,0,4,2,11,1,1,4
5105df3dd0daf4c26980f4134f61e5cc,Alberni & Jervis,49.28763,-123.127245,20,2,2,4,50,26,2,15
51e4d3731aebbf9c3186f310a08de6c8,7th & Arbutus,49.265605,-123.152566,16,0,1,3,36,8,0,13
521c2122c791ed038168c3b8ff24061b,14th & Ontario,49.25849,-123.104799,16,1,0,4,13,9,0,6
549f00f6039e8bb702a00dcca08a8ed0,King Edward & Cambie,49.249184,-123.116141,18,1,1,0,4,1,0,3
5699b40126e10c2f68eefc3eb18ff3a1,1st & Fir,49.270783,-123.141564,20,0,0,11,23,11,1,19
56fef9ba0af67a4ff3e661a8e02c0b08,Arbutus & 16th,49.257654,-123.153212,40,0,0,0,1,0,0,0
5726de7c5646b82f7aaeafba50aee03e,War Memorial Gym,49.2665793,-123.2485487,28,0,0,2,26,11,2,4
57d39a680c9407cda0fb4de6d9c55138,28th & Willow,49.246243,-123.124373,20,1,1,0,8,0,0,2
57e928d8c30fab0ebffb3ede850f89d6,Arbutus Greenway & Fir,49.266774,-123.141135,16,0,0,15,27,12,1,7
58345bb719f4e570ed4edc9dfa6a68a2,West Mall Swing Space Building,49.263073,-123.254307,20,0,0,0,13,1,4,2
58a026f0c506caec20697a4f90538450,McLean & Pender,49.280427,-123.074082,16,0,2,2,10,0,0,6
5a34495280727a5b50b9aa41e14e9a16,Bute & Barclay,49.284893,-123.128685,30,0,3,1,37,17,2,12
5ba6e9725b1b0ee8cd25df976e47726b,Balsam & Cornwall,49.273011,-123.159663,18,0,0,0,2,1,0,3
5de0fe55497681d4cc9dd25509cf51ab,Hastings & Broughton,49.290112,-123.127062,24,2,2,4,45,15,1,13
5f45325fdd6334a4c0d3b62853b19fa6,Seymour & Cordova,49.28512,-123.11242,19,3,14,3,50,49,3,16
5fc29e0ac42c11abb45bf12aaeb925bd,Alder & 11th,49.261742,-123.13148,14,0,1,1,9,5,0,3
61901a235d4cfceb7f8f2c3888b98617,10th & Columbia,49.262206,-123.109091,14,1,2,15,18,6,0,4
625a2ad202275c8e2be3ce868e85b105,Heather & 14th,49.259183,-123.120126,16,1,0,1,20,9,0,2
62a202eb98c0a4b09ba6746f5ee94ab3,Commercial & 20th,49.252656,-123.067965,20,0,0,1,4,0,0,1
6526a2eb3832f9ba0224d237e901ea5b,Kitsilano Beach Park,49.273355,-123.154493,36,0,0,0,4,5,0,3
6620c54bd6b3a79800b2b67e999b24d0,Rolston & Granville,49.274232,-123.129998,16,1,8,1,26,18,1,23
664502c28e8147615f17b8ea355f40d0,Cordova & Bute,49.289124,-123.12196,14,3,1,4,50,28,2,7
66f873d641d448bd1572ab086665a458,12th & Yukon (City Hall),49.260599,-123.113504,16,1,0,7,20,10,0,3
671ce9e4a92063620f772d2c57f0f3ab,Blenheim & 4th,49.268837,-123.177633,23,0,0,1,6,1,1,3
680b1ddfd50c4397b365c9c00f09b0d1,Wylie & 2nd,49.267725,-123.11311,18,2,1,5,16,4,1,4
686b314a6c3348efd2297d6b3dfed1a7,Thurlow & Pendrell,49.280881,-123.130672,16,0,10,2,34,20,1,17
686c0fdb962e26e274d81fc286c010dd,14th & Cambie,49.258763,-123.115392,14,1,0,2,16,6,0,4
6993b3dbb0758927967592ea612a2b1e,Granville & Georgia,49.282409,-123.118541,20,2,13,8,50,50,1,22
6b1622540fe5c85d365754dd8c20bf0c,Grant & Commercial,49.271377,-123.069416,14,0,1,1,24,8,0,19
6c0de983fb47a3439a9e3c36a3d15804,8th & Ontario,49.263837,-123.105173,16,1,3,24,28,6,0,10
6c24a62b5ee0a2a8014eb0dfb6d40025,Hornby & Nelson,49.28062,-123.12482,18,1,25,6,38,41,1,19
6c7fb9043e6df5a4cc50404581a947b9,šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,49.283227,-123.120523,28,2,12,10,50,50,1,18
6d42fa40360f9a6b2bf641c7b8bb2862,Dunsmuir & Beatty,49.279764,-123.110154,26,4,15,1,50,21,7,15
6ddeafa873279951630a00191333c45d,Robson & Granville,49.281506,-123.120101,24,2,18,7,50,50,1,22
6eaa02e5bcf78db5386683d38fa2dabd,4th & Commercial,49.266969,-123.069936,14,0,0,0,15,8,0,12
707c1c54e0278fbae5d0ae3c42a25b71,8th & Scotia,49.263635,-123.099236,12,1,4,9,22,7,0,11
7181df50ee1d1a05559399211382b7c8,Homer & Robson (Vancouver Public Library),49.279739,-123.116251,20,2,16,6,50,45,2,18
71c064fa93cab5f0b7306e6c923b77c4,7th & Granville,49.2653,-123.13811,14,1,0,4,17,9,2,7
72c1049dfbbde7c24ec45c14f1a5ee85,Harwood & Bute,49.28026,-123.135244,20,0,9,1,12,15,0,12
73f388336d879bedc962cd412eb0296e,Creekside Park North,49.2756,-123.102661,18,1,3,3,14,10,9,12
77163e893653b88926e07fd6b9f688da,Nicola & Robson,49.2885056,-123.1312375,18,1,3,8,47,14,2,22
797ff1725f8d2b18337de51e240ff60d,10th & Commercial,49.261403,-123.070102,26,0,0,2,6,7,0,10
7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,49.262487,-123.114397,36,2,1,9,30,11,0,4
7b8dfa12900bcb02b47a14e4e5010ba3,Quebec & 1st,49.27033,-123.10275,18,0,2,7,18,7,7,5
7c17f51469f1a7145455f65ef6afbd87,Lakewood & Oxford,49.285575,-123.061575,18,0,1,0,5,4,0,6
7d231a181d21056e4ba80c4d9939fe92,Carolina & Great Northern Way,49.267266,-123.090786,16,0,1,1,11,0,0,3
7ed043a19e6a4ece742fe747b663bdbf,Columbia & 5th,49.266476,-123.109389,18,2,2,19,22,6,1,7
7f091b50fbbd892bf9fb869a64c47120,East Blvd & 37th,49.238105,-123.154966,20,0,0,0,20,9,0,5
80b5c12ef21fd47275d37b2c9935249c,Trafalgar & Cornwall,49.272969,-123.164325,20,0,0,0,0,0,0,0
826af7eee4ce28b6fa4b4f0211305792,5th & Arbutus,49.267222,-123.153157,16,0,1,4,29,9,0,18
82c794442f54fabf9db6e392ca1fac0f,Stanley Park - Information Booth,49.297933,-123.130758,20,0,1,0,2,0,1,0
838d5bb59963474ad08a6d5b156943ed,14th & Main,49.258425,-123.100792,14,1,1,3,16,10,0,7
852212d6d52b5f00544fad01d21c7db2,Georgia & Main,49.278529,-123.100017,20,1,3,5,27,10,8,27
8757f74d199ba5cdbcf6ffe98a993c4d,Agronomy & East Mall,49.261736,-123.24648,18,0,0,0,14,0,5,0
899f59a9994302e8e1e4be01117ef707,Alma & Point Grey,49.27247,-123.185643,24,0,1,3,5,2,1,3
89a0b49a66e54a7639ad960962148a3e,20th & Main,49.252691,-123.101289,16,1,1,3,8,5,0,5
8c9ea7f2132376859ef34fab981d6932,Nelson & Mainland,49.276436,-123.11877,20,1,19,4,50,25,2,22
8d2d5bb3b9142f781f2a7f441e6bad7a,Point Grey & Blenheim,49.271471,-123.17731,14,0,0,1,1,0,0,2
8d5f47f01d7ad668419dfe9b7fe69c9a,Yukon & 6th,49.265939,-123.1129,18,2,1,11,24,6,1,5
8d6f0cbf7d44d2908c8ce73ed00dbf66,Burrard & 7th,49.265336,-123.145823,16,0,0,13,28,12,1,8
8dc684732a2a25bdf63ec0ecccee4e6e,14th & Granville,49.25894,-123.139272,14,1,0,0,5,0,0,4
8e44a17d2fa446ca220b90c7063b42ca,Wall & Eton,49.287464,-123.060771,18,0,1,0,2,3,0,4
8e93d0da1ee6caadf21ed9575b5fa9da,Beach & Cardero,49.283298,-123.142288,22,1,1,1,7,2,0,3
8fb5ce1e34ad31de940481953aea452c,Cypress & 4th,49.268269,-123.147885,18,0,0,12,30,13,1,9
90c746df94ce1a12f1f617acfe4a8ce3,Bute & Robson,49.285836,-123.127265,0,0,1,4,45,28,2,11
910027847876403b57f1013c16504688,Richards & Robson,49.280216,-123.117639,20,3,19,7,50,50,0,20
91035fe1d70b65c9cb8ec4a007af7c7f,Glen & Union,49.277469,-123.081315,14,0,0,1,10,1,1,9
9130f9aa3bb037a04c17e6f2630327e5,8th & Yukon,49.263962,-123.112621,24,3,2,17,26,9,1,5
92c9e62c0b42adf4759c430009d3987a,1st & Chestnut,49.270721,-123.146175,26,0,0,13,25,12,1,10
93c88a18c673e2c72a6afa93d6b89f18,10th & Main,49.262141,-123.101961,18,1,3,15,28,12,0,13
9413725a5d3bb5ce2ad0682b07a3ffab,Georgia & Homer,49.280787,-123.115271,18,2,17,6,50,50,2,19
9449a6a83fbf88452e384350e5ac95b7,York & Yew,49.271741,-123.155421,20,0,0,0,14,3,0,9
95e624191c655f50e401d280cd39a9ad,Ontario & Seawall,49.271721,-123.104207,20,0,2,6,15,9,7,5
96bf713e60bc35cc2feb5fd53a4f3471,10th & Granville,49.262598,-123.138921,14,1,0,3,15,9,1,6
97005696a3dff3366a8410b817388990,15th & Knight,49.256496,-123.075426,14,0,0,0,2,0,0,3
97388f4e4ea102a30345524bda465f4e,Ontario & 23rd,49.249722,-123.104991,12,0,1,1,14,2,0,7
9763838317308a4766b83696986a157b,Dunbar & Broadway,49.264579,-123.18373,26,0,1,5,13,5,1,4
97b25faf822b93fdbf72da1d594c0288,Carrall & Hastings,49.28117,-123.104419,18,4,11,4,50,16,13,28
983e58671adcc67af94457d7887dbb15,8th & Commercial,49.263242,-123.070521,20,0,0,2,9,8,0,11
988f8f74c4a12d1a30ddf2f7cd6318f8,Charleson Park,49.267628,-123.127698,14,0,1,0,7,1,1,1
99c81f71db35911c79a86a1c5edc5604,Beach & Hornby,49.275295,-123.132585,22,1,6,1,21,14,1,23
9a48ca226f82f52d02707b054ebc7e9e,Princess & Union,49.277615,-123.091654,12,0,0,2,7,1,1,16
9a5478470b56379c31cf4e671584d5cc,3rd & Quebec,49.268216,-123.103168,20,0,2,10,17,4,1,7
9aa325529164ec68b4d96c4f1c4fc7c1,Stanley Park - Second Beach South,49.294318,-123.148808,18,0,0,0,0,0,0,0
9bee3167f10c884044cea0d36afcd1ef,6th & Carolina,49.265213,-123.090785,16,1,1,2,7,2,0,6
9c0de696170169c26100b598219df4e9,UBC Bookstore,49.265207,-123.250139,12,0,0,2,25,3,4,4
9c1397c06e07bf74fc049f1a0872eea0,Balaclava & Broadway,49.264483,-123.173926,18,0,0,2,19,8,0,8
9d3123425823420514b8ad410074f02d,Expo & Carrall,49.278004,-123.105664,16,1,9,1,39,15,7,13
9ec4163496363b31ab475cb851b57b21,Beach & Seymour,49.273568,-123.129935,18,1,4,1,26,16,0,21
9ee3bc9e836768e3e04e4f3328dae03b,27th & Main,49.247204,-123.101549,22,0,0,2,10,3,0,7
9f63cebac9073eac3e90be2b9a91b02b,Stanley Park - Second Beach North,49.29534,-123.150433,16,0,0,0,0,0,0,0
a21f40838346e300063bdda3c5c04105,Keith & 6th,49.265005,-123.079481,28,0,0,2,3,1,0,3
a25947c94149b3aeb93f6e970d63fffc,Jericho Beach,49.271221,-123.191133,26,0,1,1,1,1,1,1
a59924f0ff3fb481a7bd8a5e9c36858f,Point Grey & Bayswater,49.271044,-123.170661,16,0,0,1,6,1,0,3
a6455af6b689bcbad07ae2c8a3419b50,7th & Woodland,49.264251,-123.073853,12,0,0,1,7,7,0,9
a6aec7b8c25da4c02829cd7839b8933d,Aquatic Centre,49.27821,-123.136972,40,0,7,1,11,15,0,8
a9f0b06d07f89b75e92c0cf686223aea,Georgia & Thurlow,49.285953,-123.124066,12,2,3,6,50,41,2,9
aa1cbf97abc3cd50515bc54633a9bb2a,Cordova & Granville,49.2856698,-123.1125432,18,2,12,2,50,45,3,15
aa704bfba40286bd0661b64d1f75e778,Vanier Park,49.275717,-123.142564,28,0,0,0,1,2,3,1
abfaf72456a4828a22f5bf60d3a80777,Trafalgar & Broadway,49.264326,-123.164725,16,0,0,3,15,6,0,13
ac3b8198f03754a0afb8b6ed6d220cdd,Napier & Commercial,49.274881,-123.069323,14,0,1,3,19,2,0,13
ace20c241ee38643c9060f290b215b9d,7th & Laurel,49.265071,-123.123864,14,0,1,0,25,5,0,4
ae69aeab748d02e5a7d89da28a1a8511,Science World,49.273691,-123.102232,16,0,2,1,10,10,7,6
aed214941445e0345aa3254805a9e8b8,Pender & Victoria,49.280197,-123.065859,16,0,0,1,8,1,0,9
afacb2133f2462aba7748cc21b71c788,Cypress & 16th,49.25741,-123.148531,12,0,0,0,0,0,0,1
b07d513f87897cff7319a0e59d7e567c,Spyglass & Seawall,49.270877,-123.115103,14,0,0,2,5,1,0,1
b10d422b045805f1c350c47c983381e8,Keefer & Hawks,49.279235,-123.087528,16,0,0,0,10,2,1,8
b26f83e904f3a778466ebcd763b7316a,29th & Cambie,49.245135,-123.116098,20,0,1,0,1,0,1,2
b2c6aaf2b4fa8937bfe3941c038683aa,Victoria & 10th,49.261188,-123.066009,0,0,0,2,6,6,0,9
b307709b305dd04328fbbf2c6db86419,Commercial & Adanac,49.277436,-123.070427,16,0,1,4,14,0,0,8
b30ed0719dd281867a4d39779c78b58a,Columbia & 14th,49.258902,-123.109596,14,1,0,7,7,1,0,2
b3bb9f58d3530d33a1a09b6be9e973e0,Dunsmuir & Richards,49.282214,-123.114101,22,4,16,6,50,50,4,18
b428c0e64d9b9fdb3bf8e85c95ffdf6b,Campbell & Hastings,49.280852,-123.084746,14,0,0,0,10,2,1,3
b530d04d393d71cffb8b8b07f4a82380,Franklin & Nanaimo,49.282087,-123.056909,20,0,1,1,14,5,0,10
b562f08327af465e4531e20226789489,Charles & Commercial,49.273103,-123.069892,22,0,1,3,22,6,0,19
b7683a86874e6300fd89f4cc0b075f57,Beatty & Nelson,49.275679,-123.116963,14,1,7,2,45,8,2,13
b7dd37a7dd668d6d10024b7f18acc438,Trimble & 8th,49.2658,-123.20596,20,0,0,1,4,3,0,1
b9ab6ce009eda6006ade1d7568d9db9c,David Lam Park,49.270905,-123.126006,18,0,3,1,9,2,1,4
b9baf685b7053de899bf3467f61c2781,Burrard & 4th,49.267859,-123.145782,16,0,0,14,34,12,1,8
b9fd847d53fe45658fee4c46e7f562b8,Cypress & Cornwall,49.272827,-123.147744,22,0,0,1,7,8,3,3
bb0847559ce71c93d8215c0997ea2811,Keefer & Princess,49.279369,-123.091241,14,0,1,1,14,1,1,21
be14efdc86dedd6a8cd338e78ab4e7c7,Bidwell & Burnaby,49.28526,-123.141809,0,1,1,1,13,7,0,6
bede4b24dae115d4cd43d2e6cc9812cb,11th & Kingsway,49.261122,-123.097571,16,1,2,3,28,12,0,13
bf8408067b0e0c963f3ff526977bcef3,Pender & Burrard,49.287097,-123.118551,26,4,3,4,50,50,2,11
bf96df77771ef0ed710d8e0e67917f45,Columbia & 1st,49.269969,-123.109623,24,0,1,6,12,2,2,5
c2a9c5d0e4578b928554c86f3d2c1162,Melville & Bute,49.287782,-123.12395,14,2,2,4,50,33,2,11
c2be5403b1c101e8032cf6696457200e,Anderson & 2nd,49.269361,-123.13782,28,1,1,8,25,7,2,18
c2f4e05c01ea0d27934ac7dbc50cbd0c,5th & Main,49.266456,-123.100324,20,1,3,10,27,5,0,10
